promo_id,description,bucket_id,qty_bucket,unit_bucket,kelipatan,potongan
PAKET-A,1 KARTON WAFER 1K (ALL VARIANT) + 1 KARTON SIIP 1K (ALL VARIANT),WFR-E01K,1,unit_1,100,3000
PAKET-A,1 KARTON WAFER 1K (ALL VARIANT) + 1 KARTON SIIP 1K (ALL VARIANT),SIP-E01K,1,unit_1,100,3000
PAKET-B,1 KARTON WAFER 2K (KEMASAN BARU - NON RCO) + 1 KARTON NEXTAR PIE 2K (ALL VARIANT),WFR-E02K,1,unit_1,100,3000
PAKET-B,1 KARTON WAFER 2K (KEMASAN BARU - NON RCO) + 1 KARTON NEXTAR PIE 2K (ALL VARIANT),NXC-E02K,1,unit_1,100,3000
PAKET-C,1 KARTON NEXTAR 2K (KEMASAN BARU) + 1 KARTON NEXTAR PIE 2K (ALL VARIANT),NXC-E02K,1,unit_1,100,3000
PAKET-C,1 KARTON NEXTAR 2K (KEMASAN BARU) + 1 KARTON NEXTAR PIE 2K (ALL VARIANT),NXT-E02K,1,unit_1,100,3000
