code,name,principal_id,category,eceran,unit_1,unit_2,unit_3,ratio_unit_2_per_unit_1,ratio_unit_3_per_unit_2,availability_default,spec_technical
306405,NABATI COATED KLP JMB 37g GT (12pc x 8ib),KSNI,CONFECTIONARY,CTD-E02K,KRT,BOX,PCS,8,12,OPEN,
306115,NABATI WRAPZ RCO 14g PRM GT (14pc x 12ib),KSNI,CONFECTIONARY,WRP-E01K,KRT,BOX,PCS,12,14,OPEN,
306409,NABATI WRAPZ RCO KLP 14g GT (12pc x 12ib),KSNI,CONFECTIONARY,WRP-E01K,KRT,BOX,PCS,12,12,OPEN,
306915,NABATI WRAPZ GGM 14g GT (12pc x 12ib),KSNI,CONFECTIONARY,WRP-E01K,KRT,BOX,PCS,12,12,OPEN,
300194,NABATI GRANDE RCO 22g GT (5pc x 12ib) PPC,KSNI,CONFECTIONARY,GRD-E10K,KRT,BOX,PCS,12,5,OPEN,
306916,NABATI GRANDE STW CC 22g GT (10pc x 6ib),KSNI,CONFECTIONARY,GRD-E10K,KRT,BOX,PCS,6,10,OPEN,
309979,RICHEESE MIE GORENG KJ 74g (40pcs),NNI,INSTANT NOODLE,MGK-E03K,KRT,PCS,,40,1,OPEN,
309985,RICHEESE MIE GORENG KJ PDS LV3 75g (40pcs),NNI,INSTANT NOODLE,MGK-E03K,KRT,PCS,,40,1,OPEN,
309986,RICHEESE MIE GORENG KJ PDS LV5 75g (40pcs),NNI,INSTANT NOODLE,MGK-E03K,KRT,PCS,,40,1,OPEN,
309990,RICHEESE MIE GORENG RICHICKEN LV3 77g (40),NNI,INSTANT NOODLE,MGK-E03K,KRT,PCS,,40,1,OPEN,
309982,RICHEESE MIE RAMEN KJ 65g (40pcs),NNI,INSTANT NOODLE,MKK-E03K,KRT,PCS,,40,1,OPEN,
309983,RICHEESE MIE RAMEN KJ PDS LV3 65g (40pcs),NNI,INSTANT NOODLE,MKK-E03K,KRT,PCS,,40,1,OPEN,
309988,RICHEESE MIE RAMEN KJ PDS LV5 67g (40pcs),NNI,INSTANT NOODLE,MKK-E03K,KRT,PCS,,40,1,OPEN,
309998,NABATI MI INSTAN MI GORENG 85g (40pcs),NNI,INSTANT NOODLE,MIE-E03K,KRT,PCS,,40,1,OPEN,
309996,NABATI MI INSTAN KUAH MI SOTO 75g (40pc),NNI,INSTANT NOODLE,MIE-E03K,KRT,PCS,,40,1,OPEN,
307836,NABATI MI GRG 85g (5pcs x 8bag) GT PRM,NNI,INSTANT NOODLE,MIE-E15K,KRT,PCS,,8,1,OPEN,
307846,RICHEESE GRG KJ LV3 75g (5pcx8bag)GT PKU,NNI,INSTANT NOODLE,MKR-E15K,KRT,PCS,,8,1,OPEN,
307837,NABATI MI KUAH SOTO 75g (5pcs x 8bag) GT PRM,NNI,INSTANT NOODLE,MIE-E15K,KRT,PCS,,8,1,OPEN,
307847,RICHEESE RMN KJ LV3 67g (5pcx8bag)GT PKU,NNI,INSTANT NOODLE,MKR-E15K,KRT,PCS,,8,1,OPEN,
380001,SIMBA CHOCO CHIPS REG 16x10x6g,SIMBA,CEREAL,CCR-E500,KRT,BOX,PCS,16,10,OPEN,
390053,SIMBA CHOCO CHIPS CKLT 24g (5pcs x 8bal)/GT,SIMBA,CEREAL,CCR-E02K,KRT,BOX,PCS,8,5,OPEN,
390059,SIMBA CHOCO CHIPS CKL 12g (10pcs x 6rcg)/GT,SIMBA,CEREAL,CCR-E01K,KRT,BOX,PCS,6,10,OPEN,
390097,SIMBA CHOCO CHIPS CKL 24g (10pcs x 6rcg)/GT,SIMBA,CEREAL,CCR-E02K,KRT,BOX,PCS,6,10,OPEN,
380002,SIMBA CHOCO CHIPS DUO 16x10x6g,SIMBA,CEREAL,CCD-E500,KRT,BOX,PCS,16,10,OPEN,
380003,SIMBA CHOCO CHIPS ZORS 8x24x5g,SIMBA,CEREAL,CCZ-E500,KRT,BOX,PCS,8,24,OPEN,
390051,SIMBA CHOCO CHIPS BAG BULKY CKLT 950g (2pcs)/GT,SIMBA,CEREAL,CCB-E35K,KRT,PCS,,2,1,OPEN,
390052,SIMBA CHOCO CHIPS BAG BULKY STW 950g (2pcs)/GT,SIMBA,CEREAL,CCB-E35K,KRT,PCS,,2,1,OPEN,
390116,SIMBA RAINBOW BULKY 900gr GT FB,SIMBA,CEREAL,CCB-E35K,KRT,PCS,,2,1,OPEN,
